"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
0.22,19,"org.axonframework.modelling.entity.child.CommandTargetResolver,org.axonframework.test.fixture.AxonTestGiven,org.axonframework.test.fixture.AxonTestThenCommand,org.axonframework.messaging.commandhandling.CommandHandler,org.axonframework.messaging.core.sequencing.SequencingPolicy,org.axonframework.messaging.commandhandling.gateway.CommandResult,org.axonframework.messaging.commandhandling.configuration.SimpleCommandHandlingModule,org.axonframework.messaging.eventhandling.gateway.DefaultEventGateway,org.axonframework.messaging.eventhandling.EventSink",""
0.21,13,"org.axonframework.modelling.SimpleEntityEvolvingComponent,org.axonframework.test.fixture.CommandValidator,org.axonframework.messaging.core.unitofwork.UnitOfWork,org.axonframework.messaging.core.SubscribableEventSource,org.axonframework.messaging.eventhandling.replay.annotation.ReplayParameterResolverFactory$ReplayParameterResolver,org.axonframework.messaging.queryhandling.annotation.AnnotatedQueryHandlingComponent,org.axonframework.messaging.core.retry.RetryPolicy$Outcome,org.axonframework.messaging.core.timeout.UnitOfWorkTimeoutInterceptorBuilder,io.axoniq.framework.axonserver.connector.query.QueryConverter",""
0.2,26,"org.axonframework.modelling.entity.annotation.AbstractEntityChildModelDefinition,org.axonframework.modelling.entity.annotation.RoutingKeyUtils,org.axonframework.modelling.HierarchicalStateManagerConfigurationEnhancer,org.axonframework.test.fixture.MessagesRecordingConfigurationEnhancer,org.axonframework.test.matchers.DeepEqualsMatcher,org.axonframework.messaging.core.annotation.HandlerEnhancerDefinition,org.axonframework.messaging.commandhandling.retry.RetryingCommandBus,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule$CommandHandlerPhase,org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory",""
0.19,12,"org.axonframework.modelling.entity.PolymorphicEntityMetamodel,org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolver,org.axonframework.modelling.entity.ConcreteEntityMetamodel,org.axonframework.test.fixture.AxonTestWhen,org.axonframework.messaging.commandhandling.CommandBus,org.axonframework.messaging.eventhandling.GenericEventMessage,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$CoordinationTask,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorConfiguration,org.axonframework.messaging.core.RemoteExceptionDescription",""
0.18,19,"org.axonframework.modelling.entity.EntityMetamodel,org.axonframework.test.fixture.AxonTestThenMessage,org.axonframework.test.fixture.AxonTestFixture,org.axonframework.test.fixture.RecordingEventStore,org.axonframework.messaging.core.MessageHandlerInterceptor,org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$Phase,org.axonframework.messaging.core.MessageDispatchInterceptor,org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry,org.axonframework.messaging.commandhandling.NoHandlerForCommandException",""
0.17,22,"org.axonframework.modelling.PropertyBasedEntityIdResolver,org.axonframework.modelling.repository.ManagedEntity,org.axonframework.modelling.entity.child.ChildEntityFieldDefinition,org.axonframework.modelling.EntityIdResolver,org.axonframework.test.util.RecordingCommandBus,org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.tracing.SpanFactory,org.axonframework.messaging.core.annotation.SequencingPolicy,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor",""
0.16,12,"org.axonframework.modelling.entity.annotation.AnnotatedEntityModelRoutingKeyMatcher,org.axonframework.modelling.entity.EntityCommandHandlingComponent,org.axonframework.modelling.SimpleStateManager,org.axonframework.messaging.eventhandling.SimpleEventBus,org.axonframework.messaging.eventhandling.configuration.EventProcessorConfiguration,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorModule,org.axonframework.messaging.core.configuration.MessagingConfigurer,org.axonframework.messaging.queryhandling.QueryResponseMessage,org.axonframework.eventsourcing.eventstore.Position",""
0.15,8,"org.axonframework.messaging.queryhandling.SubscriptionQueryUpdateMessage,org.axonframework.messaging.core.annotation.MessageHandlingMember,org.axonframework.messaging.monitoring.MessageMonitor,org.axonframework.messaging.core.unitofwork.UnitOfWorkFactory,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.Segment,org.axonframework.messaging.eventstreaming.EventCriteria,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$ComponentsPhase,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver",""
0.14,5,"org.axonframework.test.matchers.FieldFilter,org.axonframework.test.extension.ProvidedAxonTestFixtureUtils,org.axonframework.messaging.eventhandling.conversion.EventConverter,org.axonframework.messaging.eventstreaming.Tag,org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver",""
0.13,10,"org.axonframework.modelling.annotation.InjectEntityParameterResolverFactory,org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper,org.axonframework.messaging.eventhandling.EventBus,org.axonframework.messaging.core.configuration.reflection.ConfigurationParameterResolverFactory,io.axoniq.framework.axonserver.connector.query.AxonServerQueryBusConnector,org.axonframework.common.caching.WeakReferenceCache,org.axonframework.common.configuration.DefaultAxonApplication$AxonConfigurationImpl,org.axonframework.common.configuration.Component$Identifier,org.axonframework.eventsourcing.eventstore.SnapshotCapableEventStorageEngine",""
