"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion",5,2,79,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",15,85,67,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork",15,15,67,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction",15,5,67,1,""
"axon-common-5.1.2","org.axonframework.common.function",15,2,67,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",4,85,56,1,""
"axon-modelling-5.1.2","org.axonframework.modelling",4,16,56,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation",4,10,56,1,""
"axon-common-5.1.2","org.axonframework.common.annotation",4,5,56,1,""
"axon-common-5.1.2","org.axonframework.common.util",4,5,56,1,""
"axon-common-5.1.2","org.axonframework.common",18,31,50,1,""
"axon-conversion-5.1.2","org.axonframework.conversion",18,11,50,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig",18,8,50,1,""
"axon-common-5.1.2","org.axonframework.common.infra",18,8,50,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception",18,3,50,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",2,52,45,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",2,51,45,1,""
"axon-test-5.1.2","org.axonframework.test.matchers",2,23,45,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling",2,22,45,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception",2,21,45,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling",2,17,45,1,""
"axon-modelling-5.1.2","org.axonframework.modelling",2,16,45,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa",2,13,45,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api",2,12,45,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay",2,11,45,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot",8,6,42,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing",8,3,42,1,""
"axon-common-5.1.2","org.axonframework.common.annotation",13,5,24,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository",1,8,15,1,""
"axon-common-5.1.2","org.axonframework.common",16,31,13,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling",6,18,163,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",6,14,163,2,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig",6,8,163,2,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration",6,7,163,2,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing",6,6,163,2,""
"axon-common-5.1.2","org.axonframework.common.annotation",6,5,163,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation",9,17,144,2,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query",9,8,144,2,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared",9,7,144,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation",9,6,144,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing",9,5,144,2,""
"axon-test-5.1.2","org.axonframework.test.fixture",3,32,132,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",3,14,132,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation",3,11,132,2,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig",3,8,132,2,""
"axon-test-5.1.2","org.axonframework.test",3,4,132,2,""
