"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/similarity/Similarity_1d_Stream_Mutated.cypher"
1,"axon-common-5.1.2","org.axonframework.common.jdbc.JdbcException",2,1,"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToRetrieveIdentifierException",2,1,""
1,"axon-common-5.1.2","org.axonframework.common.jpa.EntityManagerProvider",5,1,"axon-update-5.1.2","org.axonframework.update.api.Artifact",3,1,""
1,"axon-common-5.1.2","org.axonframework.common.jpa.EntityManagerProvider",5,1,"axon-update-5.1.2","org.axonframework.update.api.ArtifactAvailableUpgrade",2,1,""
1,"axon-common-5.1.2","org.axonframework.common.jpa.EntityManagerProvider",5,1,"axon-update-5.1.2","org.axonframework.update.api.DetectedVulnerabilitySeverity",3,1,""
1,"axon-common-5.1.2","org.axonframework.common.lifecycle.ShutdownInProgressException",1,1,"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.JSR303ViolationException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.lifecycle.ShutdownInProgressException",1,1,"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.CompletedEmitterException",0,1,""
1,"axon-common-5.1.2","org.axonframework.common.lock.LockAcquisitionFailedException",2,1,"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToClaimTokenException",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.lock.LockAcquisitionFailedException",2,1,"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToInitializeTokenException",3,1,""
1,"axon-common-5.1.2","org.axonframework.common.lock.LockAcquisitionFailedException",2,1,"axon-modelling-5.1.2","org.axonframework.modelling.ConcurrencyException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.property.BeanPropertyAccessStrategy",0,1,"axon-common-5.1.2","org.axonframework.common.property.UniformPropertyAccessStrategy",0,1,""
1,"axon-common-5.1.2","org.axonframework.common.property.PropertyAccessException",2,1,"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation.UnsupportedHandlerException",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.property.UniformPropertyAccessStrategy",0,1,"axon-common-5.1.2","org.axonframework.common.property.BeanPropertyAccessStrategy",0,1,""
1,"axon-common-5.1.2","org.axonframework.common.util.PriorityCallable",1,1,"axon-common-5.1.2","org.axonframework.common.util.PriorityRunnable",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.util.PriorityRunnable",1,1,"axon-common-5.1.2","org.axonframework.common.util.PriorityCallable",1,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.ConversionException",20,1,"axon-common-5.1.2","org.axonframework.common.AxonConfigurationException",25,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.ConversionException",20,1,"axon-common-5.1.2","org.axonframework.common.infra.ComponentDescriptorException",2,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.ConversionException",20,1,"axon-test-5.1.2","org.axonframework.test.FixtureExecutionException",4,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.Converter",52,1,"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.EventProcessor",8,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.BlobToInputStreamConverter",0,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.BlobToInputStreamConverter",0,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.BlobToInputStreamConverter",0,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToStringConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.StringToByteArrayConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToStringConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToStringConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.StringToByteArrayConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToStringConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.InputStreamToByteArrayConverter",0,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.InputStreamToByteArrayConverter",0,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.InputStreamToByteArrayConverter",0,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.StringToByteArrayConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.StringToByteArrayConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToStringConverter",0,1,""
