"sourceModuleName","dependentModuleName","dependentElementsCount","dependentModuleElementsCount","elementUsagePercentage","dependentElementFullNameExamples","dependentElementNameExamples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/How_many_elements_compared_to_all_existing_are_used_by_dependent_modules_for_Typescript.cypher"
"route-module-annotations","routeModules",1,21,0.047619047619047616,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/dom/ssr/routeModules.ts"".MetaDescriptor","MetaDescriptor",""
"internal","routeModules",1,21,0.047619047619047616,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/dom/ssr/routeModules.ts"".MetaDescriptor","MetaDescriptor",""
"entry","routeModules",1,21,0.047619047619047616,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/dom/ssr/routeModules.ts"".RouteModules","RouteModules",""
"route-modules","routeModules",1,21,0.047619047619047616,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/dom/ssr/routeModules.ts"".RouteModules","RouteModules",""
"fog-of-war","routeModules",1,21,0.047619047619047616,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/dom/ssr/routeModules.ts"".RouteModules","RouteModules",""
"context","react-router",9,171,0.05263157894736842,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/context.ts"".NavigateOptions,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/history.ts"".Location,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".RouteObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".RouteMatch","NavigateOptions,Location,RouteObject,RouteMatch",""
"fog-of-war","react-router",9,171,0.05263157894736842,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/history.ts"".createPath,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/dom/ssr/routeModules.ts"".RouteModules,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/dom/ssr/routes.tsx"".createClientRoutes,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/dom/ssr/entry.ts"".AssetsManifest","createPath,RouteModules,createClientRoutes,AssetsManifest",""
"routeMatching","utils",5,90,0.05555555555555555,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".Params,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".matchRoutesImpl,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".RouteBranch,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".RouteMatch","Params,matchRoutesImpl,RouteBranch,RouteMatch",""
"instrumentation","utils",5,90,0.05555555555555555,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".ActionFunctionArgs,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".LoaderFunctionArgs,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".DataRouteObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".MiddlewareFunction","ActionFunctionArgs,LoaderFunctionArgs,DataRouteObject,MiddlewareFunction",""
"data","utils",5,90,0.05555555555555555,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".ActionFunctionArgs,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".LoaderFunctionArgs,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".LoaderFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".ActionFunction","ActionFunctionArgs,LoaderFunctionArgs,LoaderFunction,ActionFunction",""
"routes","utils",5,90,0.05555555555555555,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".DataRouteObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".redirect,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".MiddlewareFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".replace","DataRouteObject,redirect,MiddlewareFunction,replace",""
"instrumentation","react-router",10,179,0.055865921787709494,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".MiddlewareFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".LoaderFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".ActionFunctionArgs,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/instrumentation.ts"".InstrumentRouterFunction","MiddlewareFunction,LoaderFunction,ActionFunctionArgs,InstrumentRouterFunction",""
"plugin","plugin",1,17,0.058823529411764705,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/plugin.ts"".getPrerenderPaths","getPrerenderPaths",""
