"packageDirectory","packageName","dependencyName","dependencyVersion","Source Cypher File: domains/external-dependencies/queries/Package_json_dependencies_by_package.cypher"
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","react-refresh",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","semver",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","tinyglobby",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","valibot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","vite-node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-express","@react-router/express","@react-router/node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-fs-routes","@react-router/fs-routes","minimatch",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-node","@react-router/node","@mjackson/node-fetch-server",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-serve","@react-router/serve","@mjackson/node-fetch-server",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-serve","@react-router/serve","@react-router/express",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-serve","@react-router/serve","@react-router/node",,""
