"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-common-5.1.2","org.axonframework.common.configuration","Components",47,8,"getComponentsTypeRefAssignableTo",3,"getComponentsTypeRefAssignableTo",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","ExceptionFactory",46,35,"resolve",31,"resolve",""
"axon-update-5.1.2","org.axonframework.update.detection","TestEnvironmentDetector",46,41,"isTestClass",41,"isTestClass",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","AnnotatedQueryHandlingComponent",46,10,"lambda$constructQueryHandlerFor$2",3,"lambda$constructQueryHandlerFor$2",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","TopologyChange",45,13,"<init>",9,"mapToType",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","JacksonConverter",45,29,"convert",17,"convert",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","Jackson2Converter",45,29,"convert",17,"convert",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","AxonServerAutoConfiguration",45,7,"lambda$axonServerConfigurationEnhancer$2",3,"clientName",""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","AnnotationBasedEntityEvolvingComponent",44,21,"evolve",5,"evolve",""
"axon-modelling-5.1.2","org.axonframework.modelling.repository","SimpleRepository",44,9,"persist",2,"persist",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","EventProcessorControlService$AxonProcessorInstructionHandler",44,8,"mergeSegment",4,"mergeSegment",""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","OpenTelemetrySpan",44,12,"end",4,"end",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","StorageEngineBackedEventStore",44,13,"publish",3,"publish",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","SimpleCommandHandlingComponent",44,18,"handle",4,"subscribe",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","SplitTask",44,9,"<init>",2,"task",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","MessageStream",44,4,"just",2,"just",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","ErrorCode",43,28,"<clinit>",2,"getCommandExecutionErrorCode",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation","AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod",43,30,"<init>",11,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","JdbcTokenEntry",43,8,"<init>",4,"mayClaim",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessorsConfigurer",43,5,"<init>",1,"defaults",""
