"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-messaging-4.12.1","org.axonframework.deadline.jobrunr","org.jobrunr.scheduling",3,13,4,"JobScheduler,JobBuilder","jobrunr",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.dbscheduler","com.github.kagkarlsson.scheduler",3,11,7,"Scheduler,SchedulerState","dbscheduler",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.java","org.slf4j",3,5,4,"Logger,LoggerFactory","java",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.jobrunr","org.jobrunr.scheduling",3,18,3,"JobBuilder,JobScheduler","jobrunr",""
"axon-messaging-4.12.1","org.axonframework.serialization","com.thoughtworks.xstream.converters.collections",3,7,34,"CollectionConverter,MapConverter","serialization",""
"axon-messaging-4.12.1","org.axonframework.serialization.json","com.fasterxml.jackson.databind.type",3,3,7,"TypeFactory","json",""
"axon-messaging-4.12.1","org.axonframework.serialization.json","com.fasterxml.jackson.databind.node",3,12,7,"ObjectNode,JsonNodeType","json",""
"axon-messaging-4.12.1","org.axonframework.serialization.xml","com.thoughtworks.xstream.io",3,7,7,"HierarchicalStreamWriter,HierarchicalStreamDriver,HierarchicalStreamReader","xml",""
"axon-messaging-4.12.1","org.axonframework.serialization.xml","org.slf4j",3,5,7,"Logger,LoggerFactory","xml",""
"axon-messaging-4.12.1","org.axonframework.serialization.xml","org.dom4j",3,11,7,"Document","xml",""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection","org.slf4j",3,5,26,"Logger,LoggerFactory","inspection",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon","io.axoniq.axonserver.grpc.streams",3,16,32,"PersistentStreamEvent","axon",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon","com.google.protobuf",3,3,32,"ByteString","axon",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.processor","org.slf4j",3,16,3,"Logger,LoggerFactory","processor",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.springframework.boot.autoconfigure.condition",3,6,41,"AnyNestedCondition,AllNestedConditions","autoconfig",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.axonframework.spring.serialization.avro",3,8,41,"AvroSchemaPackages,SpecificRecordBaseClasspathAvroSchemaLoader,ClasspathAvroSchemaLoader","autoconfig",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.springframework.beans.factory.config",3,4,41,"ConfigurableListableBeanFactory,RuntimeBeanReference","autoconfig",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.springframework.boot.context.properties.bind",3,4,41,"Binder,BindResult,Bindable","autoconfig",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.springframework.beans.factory.support",3,20,41,"BeanDefinitionBuilder,BeanDefinitionRegistry,BeanDefinitionRegistryPostProcessor","autoconfig",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.service.connection","org.springframework.boot.autoconfigure.service.connection",3,3,5,"ConnectionDetails","connection",""
"axon-test-4.12.1","org.axonframework.test.aggregate","org.junit.jupiter.api.extension",3,4,19,"BeforeEachCallback,ExtensionContext,AfterEachCallback","aggregate",""
"axon-test-4.12.1","org.axonframework.test.eventscheduler","org.hamcrest",3,21,5,"Description,Matcher,StringDescription","eventscheduler",""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.jdbc","org.slf4j",2,3,14,"Logger,LoggerFactory","jdbc",""
"axon-messaging-4.12.1","org.axonframework.commandhandling.distributed","org.slf4j",2,4,26,"Logger,LoggerFactory","distributed",""
"axon-messaging-4.12.1","org.axonframework.common.property","org.slf4j",2,5,9,"LoggerFactory,Logger","property",""
"axon-messaging-4.12.1","org.axonframework.deadline.dbscheduler","org.slf4j",2,7,7,"LoggerFactory,Logger","dbscheduler",""
"axon-messaging-4.12.1","org.axonframework.deadline.jobrunr","org.slf4j",2,4,4,"Logger,LoggerFactory","jobrunr",""
"axon-messaging-4.12.1","org.axonframework.deadline.jobrunr","org.jobrunr.jobs.states",2,7,4,"IllegalJobStateChangeException,StateName","jobrunr",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.jdbc","org.slf4j",2,20,14,"LoggerFactory,Logger","jdbc",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.jpa","org.slf4j",2,12,9,"LoggerFactory,Logger","jpa",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.legacyjpa","org.slf4j",2,12,6,"Logger,LoggerFactory","legacyjpa",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.interceptors","org.slf4j",2,3,1,"LoggerFactory,Logger","interceptors",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling","com.fasterxml.jackson.annotation",2,4,3,"JsonTypeInfo$Id,JsonTypeInfo$As","scheduling",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.dbscheduler","org.slf4j",2,5,7,"LoggerFactory,Logger","dbscheduler",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.jobrunr","org.slf4j",2,7,3,"LoggerFactory,Logger","jobrunr",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.tokenstore.inmemory","org.slf4j",2,3,2,"Logger,LoggerFactory","inmemory",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.tokenstore.jdbc","org.slf4j",2,3,9,"Logger,LoggerFactory","jdbc",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.tokenstore.jpa","org.slf4j",2,3,4,"Logger,LoggerFactory","jpa",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.tokenstore.legacyjpa","org.slf4j",2,3,2,"LoggerFactory,Logger","legacyjpa",""
"axon-messaging-4.12.1","org.axonframework.lifecycle","org.slf4j",2,3,10,"Logger,LoggerFactory","lifecycle",""
"axon-messaging-4.12.1","org.axonframework.messaging","org.slf4j",2,3,35,"LoggerFactory,Logger","messaging",""
"axon-messaging-4.12.1","org.axonframework.messaging.deadletter","org.slf4j",2,19,19,"Logger,LoggerFactory","deadletter",""
