"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-common-5.1.2","org.axonframework.common.annotation",3,5,138,1,""
"axon-common-5.1.2","org.axonframework.common.util",3,5,138,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception",3,5,138,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway",3,2,138,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",0,85,117,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry",0,13,117,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception",0,5,117,1,""
"axon-common-5.1.2","org.axonframework.common",5,31,97,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled",5,25,97,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling",5,17,97,1,""
"axon-modelling-5.1.2","org.axonframework.modelling",5,16,97,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",5,14,97,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing",5,7,97,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api",5,5,97,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling",5,3,97,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion",5,2,97,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",12,51,73,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception",12,21,73,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",12,14,73,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception",12,8,73,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception",12,6,73,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception",12,3,73,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing",12,3,73,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",14,85,67,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork",14,15,67,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction",14,5,67,1,""
"axon-common-5.1.2","org.axonframework.common.function",14,2,67,1,""
"axon-common-5.1.2","org.axonframework.common.configuration",18,50,58,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling",18,17,58,1,""
"axon-test-5.1.2","org.axonframework.test.util",18,11,58,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway",18,5,58,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",4,85,55,1,""
"axon-modelling-5.1.2","org.axonframework.modelling",4,16,55,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation",4,10,55,1,""
"axon-common-5.1.2","org.axonframework.common.annotation",4,5,55,1,""
"axon-common-5.1.2","org.axonframework.common.util",4,5,55,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot",11,6,52,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing",11,3,52,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion",11,2,52,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion",11,2,52,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",2,52,37,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",2,51,37,1,""
"axon-common-5.1.2","org.axonframework.common",17,31,37,1,""
"axon-test-5.1.2","org.axonframework.test.matchers",2,23,37,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception",2,21,37,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling",2,17,37,1,""
"axon-modelling-5.1.2","org.axonframework.modelling",2,16,37,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa",2,13,37,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api",2,12,37,1,""
"axon-conversion-5.1.2","org.axonframework.conversion",17,11,37,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay",2,11,37,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig",17,8,37,1,""
"axon-common-5.1.2","org.axonframework.common.infra",17,8,37,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing",17,3,37,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig",13,8,31,1,""
"axon-common-5.1.2","org.axonframework.common.annotation",13,5,31,1,""
"axon-common-5.1.2","org.axonframework.common.function",13,2,31,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception",21,5,27,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository",1,8,15,1,""
"axon-common-5.1.2","org.axonframework.common",15,31,13,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling",6,18,157,2,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig",6,8,157,2,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing",6,6,157,2,""
"axon-common-5.1.2","org.axonframework.common.annotation",6,5,157,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation",9,17,149,2,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query",9,8,149,2,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared",9,7,149,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation",9,6,149,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing",9,5,149,2,""
"axon-test-5.1.2","org.axonframework.test.fixture",3,32,138,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation",3,11,138,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway",3,5,138,2,""
"axon-test-5.1.2","org.axonframework.test",3,4,138,2,""
