"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.messaging.queryhandling.SimpleQueryUpdateEmitter","SimpleQueryUpdateEmitter",8,"170,170,170",8,"537,98,34,3",,388,0,26,10,95,143,1,12,""
"org.axonframework.messaging.queryhandling.GenericSubscriptionQueryUpdateMessage","GenericSubscriptionQueryUpdateMessage",8,"170,170,170",8,"559,13,0,0",,420,0,28,10,1,156,2,10,""
"org.axonframework.messaging.queryhandling.SimpleQueryBus","SimpleQueryBus",8,"537,537,170",8,"537,98,34,3",,421,0,26,10,44,-1,1,22,""
"org.axonframework.messaging.queryhandling.tracing.DefaultQueryBusSpanFactory$Builder","DefaultQueryBusSpanFactory$Builder",8,"725,998,170",8,"726,83,0,0",,422,0,36,4,39,82,1,3,""
"org.axonframework.messaging.queryhandling.tracing.DefaultQueryBusSpanFactory","DefaultQueryBusSpanFactory",8,"725,998,170",8,"726,83,0,0",,422,0,36,5,34,82,1,7,""
"org.axonframework.messaging.queryhandling.tracing.DefaultQueryUpdateEmitterSpanFactory$Builder","DefaultQueryUpdateEmitterSpanFactory$Builder",8,"541,998,170",8,"541,83,0,0",,423,0,51,4,78,121,1,3,""
"org.axonframework.messaging.queryhandling.tracing.DefaultQueryUpdateEmitterSpanFactory","DefaultQueryUpdateEmitterSpanFactory",8,"541,998,170",8,"541,83,0,0",,423,0,51,4,60,-1,1,6,""
"org.axonframework.messaging.queryhandling.configuration.SimpleQueryHandlingModule","SimpleQueryHandlingModule",8,"510,537,170",6,"537,98,34,3",,418,0,10,10,33,114,1,16,""
"org.axonframework.messaging.core.annotation.HandlerComparator","HandlerComparator",5,"191,319,319",4,"191,61,19,2",,424,0,8,2,95,-1,1,1,""
"org.axonframework.messaging.core.interception.annotation.MessageInterceptingMember","MessageInterceptingMember",5,"191,319,319",4,"191,61,19,2",,425,0,8,5,53,158,3,2,""
"org.axonframework.messaging.core.interception.annotation.NoMoreInterceptors","NoMoreInterceptors",5,"191,319,319",4,"191,61,19,2",,426,0,8,7,63,136,2,5,""
"org.axonframework.messaging.core.annotation.ChainedMessageHandlerInterceptorMember","ChainedMessageHandlerInterceptorMember",5,"191,319,319",4,"191,61,19,2",,427,0,8,7,56,136,1,6,""
"org.axonframework.messaging.core.annotation.MessageStreamResolverUtils","MessageStreamResolverUtils",8,"170,170,170",8,"559,13,0,0",,428,0,28,7,52,-1,1,9,""
"org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver$AnnotationSpecification","AnnotationMessageTypeResolver$AnnotationSpecification",8,"562,170,170",8,"562,13,0,0",,429,0,52,2,85,-1,1,2,""
"org.axonframework.messaging.core.ClassBasedMessageTypeResolver","ClassBasedMessageTypeResolver",8,"170,170,170",8,"559,13,0,0",,430,0,1,3,85,-1,1,2,""
"org.axonframework.messaging.core.DelegatingMessageStream","DelegatingMessageStream",9,"177,429,429",9,"177,0,23,1",,116,0,9,4,36,129,2,2,""
"org.axonframework.messaging.core.OnNextMessageStream$Single","OnNextMessageStream$Single",9,"177,429,429",9,"177,0,23,1",,116,0,9,6,15,149,2,4,""
"org.axonframework.messaging.core.ConversionCache$Target","ConversionCache$Target",8,"170,170,170",8,"559,13,0,0",,431,0,28,2,32,-1,1,1,""
"org.axonframework.messaging.core.AbstractMessageStream$FetchResult$Completed","AbstractMessageStream$FetchResult$Completed",9,"177,429,429",9,"177,0,23,1",,116,0,9,5,59,-1,3,2,""
"org.axonframework.messaging.core.AbstractMessageStream$FetchResult$NotReady","AbstractMessageStream$FetchResult$NotReady",9,"177,429,429",9,"177,0,23,1",,116,0,9,4,71,-1,2,2,""
"org.axonframework.messaging.core.AbstractMessageStream","AbstractMessageStream",9,"177,429,429",9,"177,0,23,1",,116,0,9,7,65,-1,15,10,""
"org.axonframework.messaging.core.DelayedMessageStream$Single","DelayedMessageStream$Single",9,"177,429,429",9,"177,0,23,1",,116,0,9,4,35,112,1,3,""
"org.axonframework.messaging.core.DelayedMessageStream$Empty","DelayedMessageStream$Empty",9,"177,429,429",5,"429,0,23,1",,116,0,9,4,36,115,1,3,""
"org.axonframework.messaging.core.MappedMessageStream$Single","MappedMessageStream$Single",9,"177,429,429",9,"177,0,23,1",,116,0,9,6,4,141,2,4,""
"org.axonframework.messaging.core.annotation.MethodInvokingMessageHandlingMember","MethodInvokingMessageHandlingMember",9,"177,429,429",8,"559,13,0,0",,432,0,9,9,15,141,1,15,""
"org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector$ExecutableSignature","AnnotatedHandlerInspector$ExecutableSignature",5,"191,319,319",4,"191,61,19,2",,433,0,8,1,92,-1,1,0,""
"org.axonframework.messaging.core.annotation.ClasspathParameterResolverFactory","ClasspathParameterResolverFactory",5,"193,319,319",6,"582,61,19,2",,434,0,30,4,15,129,3,2,""
"org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver","AnnotationMessageTypeResolver",8,"562,170,170",8,"562,13,0,0",,435,0,52,8,1,-1,2,8,""
"org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver","AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver",4,"175,175,175",3,"601,59,3,8",,436,0,7,5,52,146,1,5,""
