"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"react-router-express","@types/qs",2,2,3,5,3,166.66666666666669,"QueryString.ParsedQs",""
"typegen","promises",4,4,3,5,3,166.66666666666669,".rm,promises",""
"typegen","picocolors",2,4,3,5,3,166.66666666666669,"green,red",""
"typegen","node",1,2,3,5,3,166.66666666666669,"node",""
"create-react-router","@types/process",2,20,2,3,2,150,"global.NodeJS.WriteStream,global.NodeJS.ReadStream",""
"create-react-router","node:process",1,40,2,3,2,150,"node:process",""
"normalizeSlashes","@types/path",4,4,2,3,2,150,"path.PlatformPath.sep,path.PlatformPath.win32",""
"normalizeSlashes","node:path",2,2,2,3,2,150,"node:path",""
"route-chunks","@babel/lib",32,65,12,18,3,150,"ImportDeclaration.specifiers,isVariableDeclaration,VariableDeclaration.declarations,isExportNamedDeclaration,ExportNamedDeclaration.specifiers,isImportDeclaration,isExportDefaultDeclaration,File.program,isFunctionDeclaration,Program.body,isClassDeclaration,isExportAllDeclaration,isNodesEquivalent,ExportNamedDeclaration.declaration,isExportDeclaration,Identifier.name",""
"route-chunks","@types/babel__generator",5,5,12,18,3,150,"GeneratorResult,GeneratorOptions",""
"routes","dist",30,96,19,27,4,142.10526315789474,"resolve,ArraySchema,BaseIssue,array,BaseSchema,isAbsolute,relative,flatten,safeParse,ObjectSchema,notValue,pipe,NotValueAction,boolean,string,OptionalSchema,SchemaWithPipe,lazy,CustomSchema,object,CustomIssue,StringSchema,BooleanSchema,custom,optional,LazySchema",""
"routes","@types/pick",3,3,19,27,4,142.10526315789474,"pick",""
"server","@types/express",20,24,40,50,13,125,"e.Request.protocol,e.Request.originalUrl,e.Response.on,e.Request.method,e.Request.get,e.Request.hostname,e.Request.headers,e.Request,e.Response,e.NextFunction,e.Response.status,e.Response.end,e.Response.statusMessage,e.Response.flushHeaders,e.Response.append",""
