"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"TS,Local,Module","EXPORTS","TS,Function,Interface",9,""
"TS,Enum","DECLARES","TS,EnumMember",9,""
"TS,EnumMember","INITIALIZED_WITH","Value,TS,Literal",9,""
"TS,Function","DEPENDS_ON","TS,Local,Module",9,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalModule,ExternalDeclaration",9,""
"TS,Interface","DEPENDS_ON","TS,Local,Module",9,""
"Package,Json,NPM,NpmNonDevPackage","CHANGED_TOGETHER_WITH","Package,Json,NPM,NpmDevPackage",9,""
"Package,Json,NPM,NpmDevPackage","DECLARES_DEV_DEPENDENCY","NPM,Dependency",8,""
"Value,TS,ObjectMember","REFERENCES","Value,TS,Complex",8,""
"Value,TS,Call","HAS_ARGUMENT","Value,TS,Function",8,""
"TS,ObjectMember","OF_TYPE","TS,TypeParameterReference",8,""
"Value,TS,ObjectMember","OF_TYPE","Object,TS",8,""
"TS,TypeAlias,Property","DEPENDS_ON","TS,Local,Module",8,""
"TS,Local,Module","DECLARES","TS,TypeAlias,Function,Interface",8,""
"TS,Function","DEPENDS_ON","TS,Local,Module",8,""
"TS,Local,Module","EXPORTS","TS,Function,Interface",8,""
"TS,Class","DEPENDS_ON","TS,Variable",8,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration,Function,Method,Property",8,""
"Package,Json,NPM,NpmNonDevPackage","CONTAINS","Json,Value,Object",7,""
"Package,Json,NPM,NpmNonDevPackage","DECLARES_ENGINE","NPM,Engine",7,""
"Package,Json,NPM,NpmNonDevPackage","IN_REPOSITORY","Repository,NPM",7,""
"TS,TypeAlias","OF_TYPE","TS,Tuple",7,""
"TS,Local,Module","DECLARES","TS,Interface,Variable,Function,TypeAlias",7,""
"TS,Method","DECLARES","TS,TypeParameter",7,""
"TS,Intersection","CONTAINS","TS,NotIdentified",7,""
"Value,TS,Call","OF_TYPE","TS,Primitive",7,""
"TS,Interface","DECLARES","TS,AccessorProperty",7,""
"TS,TypeAlias","DEPENDS_ON","TS,Local,Module",7,""
"TS,Getter","RETURNS","TS,Declared",7,""
"TS,Function","DEPENDS_ON","TS,Local,Module",7,""
"TS,Constructor,Local,Module","DEPENDS_ON","TS,ExternalModule",7,""
"TS,Local,Module","EXPORTS","TS,TypeAlias,Function",7,""
"TS,Property,Interface","DEPENDS_ON","TS,Enum",7,""
"TS,Variable","DEPENDS_ON","TS,Local,Module",7,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration,Property",7,""
"TS,Property","DEPENDS_ON","TS,Local,Module",7,""
"Git","RESOLVES_TO","Package,Json,NPM,NpmNonDevPackage",7,""
"Package,Json,NPM,NpmNonDevPackage","CHANGED_TOGETHER_WITH","TS,Local,Module",7,""
"TS,Local,Module","CHANGED_TOGETHER_WITH","Package,Json,NPM,NpmNonDevPackage",7,""
"TS,Class","EXTENDS","TS,Declared",6,""
"TS,Method","RETURNS","TS,Union",6,""
"Value,Array,TS","CONTAINS","Value,TS,Complex",6,""
"Value,TS,Member","PARENT","Value,TS,Call",6,""
"TS,Local,Module","DECLARES","TS,Variable,Function,Interface",6,""
"TS,TypeAlias","OF_TYPE","TS,Primitive",6,""
"TS,Function","RETURNS","TS,TypeParameterReference",6,""
"TS,Tuple","CONTAINS","TS,Declared",6,""
"Value,TS,Literal","OF_TYPE","TS,Declared",6,""
"Value,TS,Call","HAS_TYPE_ARGUMENT","TS,Declared",6,""
"TS,Variable","OF_TYPE","TS,Union",6,""
"TS,Local,Module","DEPENDS_ON","TS,Function,TypeAlias,Variable,ExternalModule,ExternalDeclaration,Property,EnumMember",6,""
"TS,FunctionParameter","OF_TYPE","TS,TypeParameterReference",6,""
"TS,Constructor,Local,Module","DEPENDS_ON","TS,Interface",6,""
"TS,Method","DEPENDS_ON","TS,Local,Module",6,""
"TS,Function","DEPENDS_ON","TS,Local,Module",6,""
"TS,Variable","DEPENDS_ON","TS,Local,Module",6,""
"TS,Local,Module","EXPORTS","TS,Function,TypeAlias,Variable",6,""
"TS,ObjectMember","OF_TYPE","TS,NotIdentified",6,""
"Local","CHANGED_TOGETHER_WITH","Package,Json,NPM,NpmNonDevPackage",6,""
"Package,Json,NPM,NpmNonDevPackage","HAS_BUG_TRACKER","NPM,BugTracker",5,""
"TS,Property","OF_TYPE","Object,TS",5,""
"TS,TypeParameter","CONSTRAINED_BY","TS,Union",5,""
"Value,TS,Function","OF_TYPE","TS,Declared",5,""
"Value,TS,ObjectMember","REFERENCES","Value,TS,Function,Declared,Literal",5,""
"Value,TS,Call","HAS_ARGUMENT","Value,Object,TS",5,""
"TS,Local,Module","DECLARES","TS,TypeAlias,Function,Variable,Interface",5,""
"TS,Variable","DEPENDS_ON","TS,Class,Local,Module",5,""
"Value,TS,Declared","REFERENCES","TS,Variable,Local,Module",5,""
"TS,Local,Module","DEPENDS_ON","TS,Function,ExternalModule,Interface,ExternalDeclaration,Property",5,""
"TS,Intersection","CONTAINS","TS,Primitive",5,""
"TS,Local,Module","EXPORTS","TS,Function,Variable,Interface",5,""
"TS,TypeAlias","DEPENDS_ON","TS,Local,Module",5,""
"TS,Function","DEPENDS_ON","TS,Local,Module",5,""
"TS,Variable","INITIALIZED_WITH","Value,TS,Declared",5,""
"TS,AccessorProperty,Local,Module","DEPENDS_ON","TS,TypeAlias",5,""
"TS,Class","DEPENDS_ON","TS,Local,Module,Method",5,""
"TS,AccessorProperty","DEPENDS_ON","TS,Local,Module",5,""
"Package,Json,NPM,NpmNonDevPackage","CHANGED_TOGETHER_WITH","TS,Local,Module",5,""
"TS,Local,Module,Package,Json,NPM,NpmDevPackage","CHANGED_TOGETHER_WITH","Package,Json,NPM,NpmNonDevPackage",5,""
"Package,Json,NPM,NpmDevPackage","DECLARES_PEER_DEPENDENCY","NPM,Dependency",4,""
"TS,Class","DECLARES","TS,TypeParameter",4,""
"TS,Getter","RETURNS","TS,Literal",4,""
"TS,Parameter,FunctionParameter","OF_TYPE","TS,Intersection",4,""
"TS,Function","RETURNS","TS,Function,TypeParameterReference",4,""
"TS,Method","DEPENDS_ON","TS,Method",4,""
"TS,Local,Module","EXPORTS","TS,Variable,Function,TypeAlias,Interface,ExternalDeclaration",4,""
"TS,Local,Module","DECLARES","TS,Function,TypeAlias,Variable,Interface",4,""
"TS,Variable","OF_TYPE","TS,NotIdentified",4,""
"TS,Local,Module,Class","DEPENDS_ON","TS,TypeAlias",4,""
"TS,TypeAlias","DEPENDS_ON","TS,Local,Module",4,""
"TS,Function","DEPENDS_ON","TS,Local,Module",4,""
"TS,Method,Class,Local,Module","DEPENDS_ON","TS,Class",4,""
"TS,Method,Interface,Class","DEPENDS_ON","TS,Local,Module",4,""
"Value,TS,Call","HAS_ARGUMENT","Value,TS,Null",4,""
"TS,Local,Module","DEPENDS_ON","TS,Interface,ExternalDeclaration,ExternalModule,Property,Function,Variable,AccessorProperty",4,""
"TS,Variable","DEPENDS_ON","TS,Local,Module",4,""
"TS,Interface","DEPENDS_ON","TS,Local,Module",4,""
